| CSV Dataset | Key Finding | Evidence (Data) | Business Impact | Confidence | Stakeholder Validation | Notes |
|---|---|---|---|---|---|---|
| delinquent_accounts_export.csv | Account volume and risk distribution | Total accounts: [COUNT]; Risk-flagged: [COUNT/TOTAL %]; Stages: [distribution] | Baseline for sizing solution; risk concentration affects strategy | | Confirms/contradicts scale narrative | |
| delinquent_accounts_export.csv | Self-service candidate availability | Self-service_candidate=Y: [COUNT %]; Missing email/mobile: [COUNT %] | Addressable market for portal; channel gaps limit outreach options | | Links to SN-005, SN-081 (customers want self-service) | |
| delinquent_accounts_export.csv | Contact channel readiness | Email available: [%]; Mobile available: [%]; Both: [%] | Constraints on omnichannel outreach strategy | | Matches stakeholder concern about "we can't reach customers" | |
| finance_assumptions.csv | Cost structure & uplift assumptions | Agent cost: £[X]/hr; Straightforward case share: [Y]%; Uplift scenarios: [Z]% | Basis for ROI modeling; identify high-sensitivity assumptions | | Enables business case building | |
| finance_assumptions.csv | Confidence levels in assumptions | High: [count]; Medium: [count]; Low: [count] | Which ROI scenarios are robust vs. require validation? | | Highlights assumptions stakeholders questioned | |
| recovery_activity_tracker.csv | Activity volume & frequency | Total activities: [COUNT]; Date range: [START-END]; Per account average: [X] | Process intensity; workload baseline for capacity planning | | Validates "we're overloaded" concern | |
| recovery_activity_tracker.csv | Duplicate checking overhead | Duplicate_check_flag=Y: [COUNT/TOTAL %]; Avg minutes/activity: [BASE], with duplicate: [TOTAL] | Quantifies system fragmentation cost (time + compliance risk) | | Directly validates SN-011, SN-028 (agents re-contact customers) | |
| recovery_activity_tracker.csv | Activity type distribution | [Activity type 1]: [%]; [Activity type 2]: [%]; etc. | Shows whether agents are doing high-value contact or low-value admin | | Validates "agents spend time hunting info" concern | |
| recovery_activity_tracker.csv | Data quality & completeness | Missing next_follow_up_date: [%]; Date format inconsistencies: [Y/N]; Orphaned activities: [COUNT] | Reliability of this data for tracking follow-ups; compliance audit trail risk | | Shows why audit trail is "scattered" | |
| smart_recovery_portal_events.csv | Portal adoption & completion | Journeys initiated: [COUNT]; Completed flow: [COUNT, %]; Drop-off points: [step & %] | Portal capability validation; shows where UX or eligibility gates are limiting | | Tests SN-081 assumption (portal works if given chance) | |
| smart_recovery_portal_events.csv | Ineligibility patterns | Ineligibility_result=ineligible: [COUNT %]; Breakdown by [risk_band/channel]: [distribution] | Process design issue (gating too strict?) vs. portal capability issue; affects phase 1 scope | | Contradicts/supports "portal doesn't work" claim | |
| smart_recovery_portal_events.csv | Channel effectiveness | Journeys via email_link: [%]; sms_link: [%]; conversion by channel: [rates] | Optimal channel mix; evidence for omnichannel vs. single-channel strategy | | Links to SN-099 (customers prefer different channels) | |
| stakeholder_interview_notes.csv | Most-mentioned themes | [Theme 1]: [frequency count/99 quotes]; [Theme 2]: [count]; etc. | Priority ranking for roadmap; consensus on problem areas | | Validates which concerns are widespread vs. isolated | |
| stakeholder_interview_notes.csv | Evidence strength per JTBD | JTBD-001 supported by: [SN-XXX, SN-YYY, roles: X, Y, Z] | Confidence in priority; identifies which JTBDs have multi-role consensus | | Cross-validation with operational data confirms/contradicts | |
