Assumption ID,Assumption Name,Value,Unit,Source,Confidence Level,Notes
A-01,average_hourly_cost,22,GBP,finance_assumptions FA-01,High,Blended agent hourly cost
A-02,working_days_per_month,21,days,finance_assumptions FA-02,High,Used to convert daily admin hours into monthly figures
A-03,straighforward_case_share (conservative),0.38,N/A,finance_assumptions FA-03,Low,"Conclicts with observed data. 77.4% of sample accounts are flagged self_service_candidate = Y with risk_flag = N. Because of this, confidence is low"
A-04,straighforward_case_share (optimistic),0.774,N/A,Dervived (see notes),Low,77.4% of sample accounts are flagged self_service_candidate = Y with risk_flag = N
A-05,avg_straightforward_case_minutes,18,minutes,finance_assumptions FA-04,Medium,"Observed all-case average is 21.5 minutes per account (B-03). An 18-,imute figure for straightforward cases only is consistent with that"
A-06,target_straightforward_case_minutes,10,minutes,finance_assumptions FA-05,Medium,Implies 8 minutes saved per case once automated. This is a target set by operations
A-07,recovery_uplift_for_plan_selection,0.04,N/A,finance_assumptions FA-07,Low,Revenue uplift
A-08,recovery_uplift_for_promise_capture,0.025,N/A,finance_assumptions FA-08,Low,Revenue uplift
A-09,monthly_recovery_baseline,8000000,GBP,finance_assumptions FA-09,Medium,Base figure for all revenue uplift calculations.
A-10,implementation_cost_low_complexity,45000,GBP,finance_assumptions FA-10,Medium,
A-11,implementation_cost_medium_complexity,85000,GBP,finance_assumptions FA-11,Medium,
A-12,monthly_case_volume,45700,cases per month,Derived (see notes),Low,"3214 distinct account_id in recovery_activity_tracker over 66 days, scaled by A-12"
A-13,sample_to_population_scaling_factor,30.8,N/A,Derived (see notes),Low,100000 (B-01) divided by 3246 rows in delinquent_accounts_export. Assumes the sample is representative of the full account population
